Provincia;sintomas;seroprevalencia
Almería;0.0752212;0.067
Cádiz;0.0646766;0.061
Córdoba;0.0669145;0.049
Granada;0.0857988;0.096
Huelva;0.0864198;0.047
Jaén;0.0964912;0.082
Málaga;0.0752475;0.064
Sevilla;0.0668524;0.084
Huesca;0.0923077;0.086
Teruel;0.0222222;0.097
Zaragoza;0.1131498;0.127
Cantabria;0.0821256;0.063
Albacete;0.1442308;0.171
Ciudad Real;0.1153846;0.148
Cuenca;0.1184211;0.187
Guadalajara;0.1208791;0.17
Toledo;0.1207547;0.154
Ávila;0.0895522;0.149
Burgos;0.12;0.124
León;0.0792683;0.097
Palencia;0.0806452;0.136
Salamanca;0.0743802;0.135
Segovia;0.1206897;0.15
Soria;0.1470588;0.186
Valladolid;0.1198157;0.114
Zamora;0.0701754;0.139
Barcelona;0.1293008;0.124
Girona;0.115;0.114
Lleida;0.1216216;0.122
Tarragona;0.103321;0.056
Ceuta;0.0384615;0.092
Melilla;0.0454545;0.105
Madrid;0.1687529;0.186
Navarra;0.0859729;0.143
Alicante;0.0755396;0.061
Castellón;0.0862944;0.093
Valencia;0.0899654;0.046
Badajoz;0.0539419;0.065
Cáceres;0.0472973;0.104
A Coruña;0.0617647;0.038
Lugo;0.0561224;0.043
Ourense;0.0787879;0.062
Pontevedra;0.0555556;0.048
Baleares;0.0693642;0.063
Las Palmas;0.0906516;0.041
Santa Cruz de Tenerife;0.058651;0.035
La Rioja;0.0934579;0.082
Álava;0.1391753;0.12
Guipúzcoa;0.0760626;0.064
Vizcaya;0.1088154;0.084
Asturias;0.0636132;0.061
Murcia;0.0757238;0.061
